2026-07-24 17:36:18 INFO  [main] ExcelUtils - Reading Excel file : src/main/resources/testdata/LoginData.xlsx
2026-07-24 17:36:19 INFO  [main] ExcelUtils - Excel data loaded successfully
2026-07-24 17:36:19 INFO  [main] BaseTest - ========== Starting Test : verifyValidLogin ==========
2026-07-24 17:36:19 INFO  [main] ConfigReader - Loading config.properties file
2026-07-24 17:36:19 INFO  [main] ConfigReader - Configuration loaded successfully
2026-07-24 17:36:19 INFO  [main] DriverFactory - Initializing browser : CHROME
2026-07-24 17:36:21 INFO  [main] DriverFactory - CHROME browser launched successfully
2026-07-24 17:36:21 INFO  [main] BaseTest - Opening application URL : https://www.saucedemo.com/
2026-07-24 17:36:24 INFO  [main] LoginTest - Starting Login Test
2026-07-24 17:36:24 INFO  [main] BaseTest - Cleaning test execution
2026-07-24 17:36:24 INFO  [main] DriverFactory - Closing browser
2026-07-24 17:36:25 INFO  [main] DriverFactory - Browser closed successfully
2026-07-24 17:36:25 INFO  [main] BaseTest - ========== Test Execution Completed ==========
2026-07-24 17:36:25 INFO  [main] BaseTest - ========== Starting Test : verifyValidLogin ==========
2026-07-24 17:36:25 INFO  [main] DriverFactory - Initializing browser : CHROME
2026-07-24 17:36:26 INFO  [main] DriverFactory - CHROME browser launched successfully
2026-07-24 17:36:26 INFO  [main] BaseTest - Opening application URL : https://www.saucedemo.com/
2026-07-24 17:36:28 INFO  [main] LoginTest - Starting Login Test
2026-07-24 17:36:28 INFO  [main] BaseTest - Cleaning test execution
2026-07-24 17:36:28 INFO  [main] DriverFactory - Closing browser
2026-07-24 17:36:29 INFO  [main] DriverFactory - Browser closed successfully
2026-07-24 17:36:29 INFO  [main] BaseTest - ========== Test Execution Completed ==========
2026-07-24 17:36:29 INFO  [main] BaseTest - ========== Starting Test : verifyValidLogin ==========
2026-07-24 17:36:29 INFO  [main] DriverFactory - Initializing browser : CHROME
2026-07-24 17:36:30 INFO  [main] DriverFactory - CHROME browser launched successfully
2026-07-24 17:36:30 INFO  [main] BaseTest - Opening application URL : https://www.saucedemo.com/
2026-07-24 17:36:33 INFO  [main] LoginTest - Starting Login Test
2026-07-24 17:36:33 INFO  [main] BaseTest - Cleaning test execution
2026-07-24 17:36:33 INFO  [main] DriverFactory - Closing browser
2026-07-24 17:36:33 INFO  [main] DriverFactory - Browser closed successfully
2026-07-24 17:36:33 INFO  [main] BaseTest - ========== Test Execution Completed ==========
2026-07-24 17:39:14 INFO  [main] TestListener - ========== Test Execution Started ==========
2026-07-24 17:39:15 INFO  [main] ExtentReportManager - Extent Report Created : C:\Users\HP\Desktop\Project\selenium-testng-framework\reports\AutomationReport_20260724_173914.html
2026-07-24 17:39:15 INFO  [TestNG-test=Parallel Tests-1] ExcelUtils - Reading Excel file : src/main/resources/testdata/LoginData.xlsx
2026-07-24 17:39:16 INFO  [TestNG-test=Parallel Tests-1] ExcelUtils - Excel data loaded successfully
2026-07-24 17:39:16 INFO  [TestNG-test=Parallel Tests-1] BaseTest - ========== Starting Test : verifyValidLogin ==========
2026-07-24 17:39:16 INFO  [TestNG-test=Parallel Tests-1] ConfigReader - Loading config.properties file
2026-07-24 17:39:16 INFO  [TestNG-test=Parallel Tests-1] ConfigReader - Configuration loaded successfully
2026-07-24 17:39:16 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - Initializing browser : CHROME
2026-07-24 17:39:19 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - CHROME browser launched successfully
2026-07-24 17:39:19 INFO  [TestNG-test=Parallel Tests-1] BaseTest - Opening application URL : https://www.saucedemo.com/
2026-07-24 17:39:21 INFO  [TestNG-test=Parallel Tests-1] TestListener - Test Started : com.amol.automation.tests.LoginTest.verifyValidLogin
2026-07-24 17:39:21 INFO  [TestNG-test=Parallel Tests-1] ExtentReportManager - Extent Test Created : com.amol.automation.tests.LoginTest.verifyValidLogin
2026-07-24 17:39:21 INFO  [TestNG-test=Parallel Tests-1] LoginTest - Starting Login Test
2026-07-24 17:39:21 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Starting login process
2026-07-24 17:39:21 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Entering username : standard_user
2026-07-24 17:39:21 INFO  [TestNG-test=Parallel Tests-1] BasePage - Entering text : standard_user
2026-07-24 17:39:22 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Entering password
2026-07-24 17:39:22 INFO  [TestNG-test=Parallel Tests-1] BasePage - Entering text : secret_sauce
2026-07-24 17:39:22 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Clicking Login button
2026-07-24 17:39:22 INFO  [TestNG-test=Parallel Tests-1] BasePage - Clicking element : [[ChromeDriver: chrome on windows (15485dffe7751f1778985942f622e1f4)] -> id: login-button]
2026-07-24 17:39:22 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Login successful, navigating to Home Page
2026-07-24 17:39:22 INFO  [TestNG-test=Parallel Tests-1] LoginTest - Login completed successfully
2026-07-24 17:39:22 INFO  [TestNG-test=Parallel Tests-1] HomePage - Fetching Home page title
2026-07-24 17:39:23 INFO  [TestNG-test=Parallel Tests-1] BasePage - Getting text : Products
2026-07-24 17:39:23 INFO  [TestNG-test=Parallel Tests-1] TestListener - Test Passed : verifyValidLogin
2026-07-24 17:39:23 INFO  [TestNG-test=Parallel Tests-1] BaseTest - Cleaning test execution
2026-07-24 17:39:23 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - Closing browser
2026-07-24 17:39:23 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - Browser closed successfully
2026-07-24 17:39:23 INFO  [TestNG-test=Parallel Tests-1] BaseTest - ========== Test Execution Completed ==========
2026-07-24 17:39:23 INFO  [TestNG-test=Parallel Tests-1] BaseTest - ========== Starting Test : verifyValidLogin ==========
2026-07-24 17:39:23 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - Initializing browser : CHROME
2026-07-24 17:39:25 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - CHROME browser launched successfully
2026-07-24 17:39:25 INFO  [TestNG-test=Parallel Tests-1] BaseTest - Opening application URL : https://www.saucedemo.com/
2026-07-24 17:39:27 INFO  [TestNG-test=Parallel Tests-1] TestListener - Test Started : com.amol.automation.tests.LoginTest.verifyValidLogin
2026-07-24 17:39:27 INFO  [TestNG-test=Parallel Tests-1] ExtentReportManager - Extent Test Created : com.amol.automation.tests.LoginTest.verifyValidLogin
2026-07-24 17:39:27 INFO  [TestNG-test=Parallel Tests-1] LoginTest - Starting Login Test
2026-07-24 17:39:27 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Starting login process
2026-07-24 17:39:27 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Entering username : problem_user
2026-07-24 17:39:27 INFO  [TestNG-test=Parallel Tests-1] BasePage - Entering text : problem_user
2026-07-24 17:39:28 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Entering password
2026-07-24 17:39:28 INFO  [TestNG-test=Parallel Tests-1] BasePage - Entering text : secret_sauce
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Clicking Login button
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] BasePage - Clicking element : [[ChromeDriver: chrome on windows (c3d28c822feaf5c9dfd9d9bf4ab8326e)] -> id: login-button]
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] LoginPage - Login successful, navigating to Home Page
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] LoginTest - Login completed successfully
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] HomePage - Fetching Home page title
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] BasePage - Getting text : Products
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] TestListener - Test Passed : verifyValidLogin
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] BaseTest - Cleaning test execution
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - Closing browser
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - Browser closed successfully
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] BaseTest - ========== Test Execution Completed ==========
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] BaseTest - ========== Starting Test : verifyValidLogin ==========
2026-07-24 17:39:29 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - Initializing browser : CHROME
2026-07-24 17:39:31 INFO  [TestNG-test=Parallel Tests-1] DriverFactory - CHROME browser launched successfully
2026-07-24 17:39:31 INFO  [TestNG-test=Parallel Tests-1] BaseTest - Opening application URL : https://www.saucedemo.com/
2026-07-24 17:39:33 INFO  [TestNG-test=Parallel Tests-1] TestListener - Test Started : com.amol.automation.tests.LoginTest.verifyValidLogin
2026-07-24 17:39:33 INFO  [TestNG-test=Parallel Tests-1] ExtentReportManager - Extent Test Created : com.amol.automation.tests.LoginTest.verifyValidLogin
2026-07-24 17:39:33 INFO  [TestNG-test=Parallel Tests-1] LoginTest - Starting Login Test
